,name,address,price,rating,amenities
43,OYO 15392 Sri Sai Guru Comforts,"Near Kodigihalli Gate, Byatarayanapura, Bangalore",₹1216,(816 Ratings),"Free Wifi, Power backup, Card Payment"
44,Capital O BLR2499 Comfort Delight Hotel ,"India, Bangalore",₹1310,(184 Ratings),"Reception, Public Washroom, Security"
45,Capital O 47538 Prime Residency,"Near Perseverance HBR, Saint Thomas Town, Bangalore",₹1228,(2112 Ratings),"Hair Dryer, Parking Facility, Reception"
46,OYO Townhouse 007 Indiranagar,"12TH MAIN RD,HAL 2ND STAGE ,INDIRANAGAR,BANGALORE",₹1642,(1625 Ratings),"Living Room, Bedside Table / Desk, Refrigerator"
47,Capital O 74657 Nandhana Regent,"Near Koramangala Rto, Bda Complex, Bangalore",₹1142,(574 Ratings),"Cot, AC, Bedside Table / Desk"
48,SPOT ON 47801 S.G Comforts,"Near State Bank Of India, M S K Nagar, Bangalore",₹1014,(44 Ratings),"Twin Single Bed, Reception, Power backup"
49,OYO Townhouse 238 Ulssor,"Halasuru, Bangalore",₹1612,(759 Ratings),"Doctor on Call, Reception, Public Washroom"
50,OYO 25036 Suraksha Residency,"Near 6th Cross Road, Gandhi Nagar, Bangalore",₹1172,(295 Ratings),"Reception, Free Wifi, Power backup"
51,Capital O 66595 Scarlet Suites,"Near Sai Balaji Complex, Bangalore",₹1507,,"Private Entrance, Reception, Cot"
52,Capital O 5381 The Emirates Hotel,"Near Total Mall, Madiwalla, Bangalore",₹1167,(524 Ratings),"Parking Facility, Free Wifi, Power backup"
53,OYO 78918 Leva Homes,"Mahadevapura Zone, Bangalore",₹903,(289 Ratings),"Elevator, Private Entrance, Free Wifi"
54,Capital O 77528 Smile Hotels,"India, Bangalore",₹1586,(110 Ratings),"Doctor on Call, Reception, Public Washroom"
55,OYO 6825 New Crescent Citadel,"Near Kemp Fort Mall, Murugeshpalya, Bangalore",₹1329,(382 Ratings),"AC, Queen Sized Bed"
56,OYO 63230 Exotica Hotels,"Near Jayadeva Flyover, BTM Layout, Bangalore",₹1013,(740 Ratings),"Private Entrance, Reception, Free Wifi"
57,OYO Townhouse 049 HSR Layout,"Near HSR Club, Kadalda Meen, Bangalore",₹1504,(1538 Ratings),"Free Wifi, Power backup, CCTV Cameras"
58,SPOT ON 76312 Sri Balaji Comforts,"Bangalore Urban, Bangalore",₹572,(772 Ratings),"TV, AC, Reception"
59,OYO 62331 GN Collection O,"Centrally Located, Near A D Halli Park, Housing Board, Bangalore",₹1456,(2096 Ratings),"Reception, Free Wifi, Power backup"
60,Collection O 77215 Manpho Bell,"Railway Colony Majestic , Bangalore",₹1672,(927 Ratings),"Reception, Security, In-house Restaurant"
61,OYO 554 Hotel Red Carpet Residence,"Near Manipal Centre, Ulsoor Road, Bangalore",₹1448,(519 Ratings),"AC, TV, Mini Fridge"
62,Collection O 199 Tin factory,"Near Tin Factory Bus Stop, 1St Cross Rd, Bangalore",₹1415,(2441 Ratings),"Free Wifi, AC"
63,SPOT ON 78462 A Class Suites ,"India, Bangalore",₹1059,(12 Ratings),"TV, Reception, Wakeup Service"
64,OYO 385 TownHouse Navya International Ramamurthy Nagar,"Near Rammamurthynagar Police Station, Bangalore",₹1270,(2295 Ratings),"Electric Kettle, Free Wifi, AC"
65,OYO 77430 Hiland Suites,"560001, Bangalore",₹1670,(102 Ratings),"Reception, Free Wifi, Power backup"
66,OYO 13567 Sri Sai Guru Comforts,"Near Kalyan Nagar, Babu Sahibpalya, Bangalore",₹1351,(206 Ratings),"Free Wifi, Power backup, Card Payment"
67,Collection O 42670 Grand Continent,"Near gopalan cinemas, J.P. Nagar, Bangalore",₹1518,(2018 Ratings),"Private Entrance, Reception, Free Wifi"
68,Townhouse Oak White Inn,"Koramangala, Bangalore",₹1543,,"Free Wifi, Power backup, Security"
69,OYO 28067 Shree Comforts,"Near RNS motors, Bannerghatta Road, Bangalore",₹1291,(924 Ratings),"Reception, Free Wifi, Power backup"
70,OYO 81310 Collection O Hotel Maharaja,"Rajarajeshwari Nagar Zone, Bangalore",₹1430,,AC
71,OYO 23032 Hotel Mayur Paradise,"Near Shamaro Vittal Co-Operative Bank, Bangalore",₹1014,(467 Ratings),"Parking Facility, Reception, Free Wifi"
72,OYO 10821 Sree Balaji Residency,"Agrahara Dasarahalli, Rajaji Nagar, Bangalore",₹1442,(692 Ratings),"Elevator, Free Wifi, Geyser"
73,Capital O 11092 Shiv Enclave,"Near Nagavara, Ashwath Nagar, Bangalore",₹1491,(223 Ratings),"TV, AC, Wheelchair Accessible"
74,OYO 2318 Hotel Tiara,"Lexington Towers, 63 St.Johns Woods Apts & Oracle, Tavarekere Main Rd",₹1014,(25 Ratings),"Parking Facility, Reception, Free Wifi"
75,OYO Townhouse 180 Jayanagar,"Near Sagar Hospital, Tilak Nagar, Bangalore",₹1658,(1019 Ratings),"Free Wifi, AC, TV"
76,OYO 26817 Gks Residency,"Near Jayadeva circel, Vysya Bank Colony, Bangalore",₹1014,,"Reception, Free Wifi, Power backup"
77,Capital O 79118 Green Residency,"kanteerava nagar, Bangalore",₹1272,(27 Ratings),"Reception, CCTV Cameras, Daily Housekeeping"
78,OYO Townhouse 273 Hosur Main Road Bommanahalli,"Near krishna Theature Bommanahalli, Hosur main road, Bangalore",₹1462,(3412 Ratings),"Parking Facility, Reception, Free Wifi"
79,OYO 68189 Durga Deluxe,"Near Classic Automotive, Nagavara, Bangalore",₹1186,,"Doctor on Call, Hair Dryer, Parking Facility"
